id,invoice_id,track_id,unit_price,quantity
1,1,1158,0.99,1
2,1,1159,0.99,1
3,1,1160,0.99,1
4,1,1161,0.99,1
5,1,1162,0.99,1
6,1,1163,0.99,1
7,1,1164,0.99,1
8,1,1165,0.99,1
9,1,1166,0.99,1
10,1,1167,0.99,1
11,1,1168,0.99,1
12,1,1169,0.99,1
13,1,1170,0.99,1
14,1,1171,0.99,1
15,1,1172,0.99,1
16,1,1173,0.99,1
17,2,3476,0.99,1
18,2,482,0.99,1
19,2,2701,0.99,1
20,2,1641,0.99,1
21,2,1119,0.99,1
22,2,2324,0.99,1
23,2,201,0.99,1
24,2,819,0.99,1
25,2,392,0.99,1
26,2,2651,0.99,1
27,3,2516,0.99,1
28,3,2646,0.99,1
29,4,3448,0.99,1
30,4,2560,0.99,1
31,4,3336,0.99,1
32,4,829,0.99,1
33,4,1872,0.99,1
34,4,748,0.99,1
35,4,1778,0.99,1
36,4,2514,0.99,1
37,5,1986,0.99,1
38,5,1987,0.99,1
39,5,1988,0.99,1
40,5,1989,0.99,1
41,5,1990,0.99,1
42,5,1991,0.99,1
43,5,1992,0.99,1
44,5,1993,0.99,1
45,5,1994,0.99,1
46,5,1995,0.99,1
47,5,1996,0.99,1
48,5,1997,0.99,1
49,5,1998,0.99,1
50,5,1999,0.99,1
51,5,2000,0.99,1
52,5,2001,0.99,1
53,5,2002,0.99,1
54,6,1045,0.99,1
55,6,30,0.99,1
56,7,3477,0.99,1
57,7,3439,0.99,1
58,7,1102,0.99,1
59,7,711,0.99,1
60,7,1988,0.99,1
61,7,3024,0.99,1
62,7,834,0.99,1
63,7,2596,0.99,1
64,7,1343,0.99,1
65,7,2644,0.99,1
66,7,42,0.99,1
67,8,2231,0.99,1
68,8,2509,0.99,1
69,8,81,0.99,1
70,8,1758,0.99,1
71,8,1455,0.99,1
72,8,2946,0.99,1
73,8,574,0.99,1
74,8,1752,0.99,1
75,8,2263,0.99,1
76,8,1560,0.99,1
77,9,206,0.99,1
78,9,3456,0.99,1
79,9,1041,0.99,1
